jobType,jobNo,jobName,jobNameSnippet,jobRole,jobRo,jobAddrNo,jobAddrNoDesc,jobAddress,description,descWithoutHighlight,optionEdu,period,periodDesc,applyCnt,applyType,applyDesc,custNo,custName,coIndustry,coIndustryDesc,salaryLow,salaryHigh,salaryDesc,s10,appearDate,appearDateDesc,optionZone,isApply,applyDate,userApplyCount,isSave,descSnippet,tags,landmark,link,jobsource,jobNameRaw,custNameRaw,lon,lat,remoteWorkType,major,salaryType,dist,mrt,mrtDesc,isActivelyHiring
1,10437100,軟體測試工程師 Software QA Engineer,軟體測試工程師 Software QA Engineer,1,1,6001002011,新北市新店區,北新路三段221號8樓,"◇ 同樣歡迎由RD轉為自動化測試的人員，因為你已經了解&quot;RD&quot;可能會犯錯的盲點，更全面找到系統可能的問題，讓品質越來穩定。

工作內容：
1. 撰寫測試列表：依產品功能與文件，撰寫測試項目列.
2. 產品系統測試：進行系統、功能、介面與相容性測試 
3. 產品數值測試：進行前端顯示與後端數值相關串連測試 
4. 產品平衡建議：適時提出有效且有利於產品的優化建議意見
5. 負責產品的測試，制定測試計畫，有效保證產品線品質
6. 整理並分享測試計畫與測試手法，讓團隊成員能夠 Reuse原來的 Test case，優化成更佳的 Test case
7. 提供測試報告和建議以保障產品可測性和架構合理性.

Better have：
◇ QA工作經驗3-5年，具備Web, APP(Android, iOS)測試經驗
◇ 熟悉 API 測試工具 (Postman, Swagger etc.)
◇ 程式撰寫能力 (Python, Java, JavaScript etc.)
◇ 熟悉自動化測試框架 (Selenium, Appium, Cypress, Robot framework etc.)
◇ 熟悉版控工具 (Git)
◇ 熟悉關聯式/非關聯式資料庫 (PostgreSQL/ MongoDB)
◇ 熟悉效能/壓力/負載測試工具與方法 (Jmeter, Locust etc.)
◇ 熟悉網路除錯工具 (Fiddler, Wireshark)","◇ 同樣歡迎由RD轉為自動化測試的人員，因為你已經了解""RD""可能會犯錯的盲點，更全面找到系統可能的問題，讓品質越來穩定。

工作內容：
1. 撰寫測試列表：依產品功能與文件，撰寫測試項目列.
2. 產品系統測試：進行系統、功能、介面與相容性測試 
3. 產品數值測試：進行前端顯示與後端數值相關串連測試 
4. 產品平衡建議：適時提出有效且有利於產品的優化建議意見
5. 負責產品的測試，制定測試計畫，有效保證產品線品質
6. 整理並分享測試計畫與測試手法，讓團隊成員能夠 Reuse原來的 Test case，優化成更佳的 Test case
7. 提供測試報告和建議以保障產品可測性和架構合理性.

Better have：
◇ QA工作經驗3-5年，具備Web, APP(Android, iOS)測試經驗
◇ 熟悉 API 測試工具 (Postman, Swagger etc.)
◇ 程式撰寫能力 (Python, Java, JavaScript etc.)
◇ 熟悉自動化測試框架 (Selenium, Appium, Cypress, Robot framework etc.)
◇ 熟悉版控工具 (Git)
◇ 熟悉關聯式/非關聯式資料庫 (PostgreSQL/ MongoDB)
◇ 熟悉效能/壓力/負載測試工具與方法 (Jmeter, Locust etc.)
◇ 熟悉網路除錯工具 (Fiddler, Wireshark)",大學,04,3年以上,00014,3,11~30人應徵,130000000108821,希格斯資訊科技有限公司,1001001002,電腦軟體服務業,0000000,0000000,待遇面議,10,20250610,6/10,0,0,,0,0,"◇ 同樣歡迎由RD轉為自動化測試的人員，因為你已經了解&quot;RD&quot;可能會犯錯的盲點，更全面找到系統可能的問題，讓品質越來穩定。

工作內容：
1. 撰寫測試列表：依產品功能與文件，撰寫測試項目列.
2. 產品系統測試：進行系統、功能、介面與相容性測試 
3. 產品數值測試：進行前端顯示與後端數值相關串連測試 
4. 產品平衡建議：適時提出有效且有利於產品的優化建議意見
5. 負責產品的測試，制定測試計畫，有效保證產品線品質
6. 整理並分享測試計畫與測試手法，讓團隊成員能夠 Reuse原來的 Test case，優化成更佳的 Test case
7. 提供測試報告和建議以保障產品可測性和架構合理性.

Better have：
◇ QA工作經驗3-5年，具備Web, APP(Android, iOS)測試經驗
◇ 熟悉 API 測試工具 (Postman, Swagger etc.)
◇ 程式撰寫能力 (Python, Java, JavaScript etc.)
◇ 熟悉自動化測試框架 (Selenium, Appium, Cypress, Robot framework etc.)
◇ 熟悉版控工具 (Git)
◇ 熟悉關聯式/非關聯式資料庫 (PostgreSQL/ MongoDB)
◇ 熟悉效能/壓力/負載測試工具與方法 (Jmeter, Locust etc.)
◇ 熟悉網路除錯工具 (Fiddler, Wireshark)",[],距捷運大坪林站約240公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/67pbg?channel=104rpt&jobsource=hotjob_chr', 'job': '//www.104.com.tw/job/67pbg?jobsource=hotjob_chr', 'cust': '//www.104.com.tw/company/1a2x6bkb9x?jobsource=hotjob_chr'}",hotjob_chr,軟體測試工程師 Software QA Engineer,希格斯資訊科技有限公司,121.5406615,24.9849956,0,[],,0.24,99001003005,捷運大坪林站,True
1,14659942,[歡迎新鮮人] JR0272422 LTD Advanced Device Development Engineer,[歡迎新鮮人] JR0272422 LTD Advanced Device Development Engineer,1,1,6001006001,新竹市,東區中華路二段190號7F (Ambassador Hotel building),"
**Job Description
This position is in the Logic Technology Development team working in one of the most advanced semiconductor cleanroom facilities in the world. You will be designing, executing, and analyzing experiments necessary to meet engineering specifications for their process.

**What we offer:
We foster a collaborative, supportive, and exciting environment where the brightest minds in the world come together to achieve exceptional results. We give you opportunities to transform technology and create a better future, by delivering products that make the world a better place. Intel Corporation Core Values here.


**Benefits:
We provide benefits that promote a healthy, enjoyable life: excellent medical plans, wellness programs, and amenities, time off, recreational activities, discounts on various products and services, and many more creative rewards that make Intel a Great Place to Work. Find more information about our Amazing Benefits here.

**What we do:
The Logic Technology Development (LTD) organization delivers the latest process technology innovations to drive Intel&#039;s amazing product roadmap. Look at Life Inside Intel here

Job Responsibilities include but not limited to:

• Develops algorithms and applications, performs large scale experimentation, builds data driven apps to translate data into intelligence, and develops solutions for solving business problems using coding.
• Incorporates predictive modeling, statistics and other analysis techniques for collecting, exploring, interpreting and extracting insights from structured and unstructured data.
• Organizes, interprets and structures insights from data, detects data anomalies and makes corrections.
• Performs descriptive statistical analysis, develops visualizations, applications, dashboards, or presentations and communicates insights in a clear and effective way to help the organization with better decision making.
• Supports troubleshooting service offerings using proprietary analytical platforms, commercial tools and custom scripts.
• Drives the design, development and optimization of artificial intelligence/machine learning, deep learning training and inference frameworks, contributes to the research and development of data science activities and supports product development efforts as required.
• Develops and programs methods, processes, and systems to consolidate and analyze diverse big data sources, establishing standard methodologies for data science including modeling, coding, analytics, and experimentation.
• Explores, compiles, and collects data from new or known sources, sometimes in partnership with technical staff/engineers to derive useful insights and/or make predictions.
• Works with development teams and business units to ensure models are scalable and can be implemented as part of the delivered solution across clients.

Additional Responsibilities:

• Development and use of software such as Python, SQL, Visual Basic, C+/C++, JMP, JSL script that automate electrical and physical data analysis for the device characterization to facilitate the device targeting and technology development.
• Electrical measurement, validation, and debug of new Test Chip silicon.
• Collaborating with process modules, process integration, reliability, circuit design, and electrical test equipment groups to understand and define requirements for new state of art Test Chips and to develop test methodologies


","
**Job Description
This position is in the Logic Technology Development team working in one of the most advanced semiconductor cleanroom facilities in the world. You will be designing, executing, and analyzing experiments necessary to meet engineering specifications for their process.

**What we offer:
We foster a collaborative, supportive, and exciting environment where the brightest minds in the world come together to achieve exceptional results. We give you opportunities to transform technology and create a better future, by delivering products that make the world a better place. Intel Corporation Core Values here.


**Benefits:
We provide benefits that promote a healthy, enjoyable life: excellent medical plans, wellness programs, and amenities, time off, recreational activities, discounts on various products and services, and many more creative rewards that make Intel a Great Place to Work. Find more information about our Amazing Benefits here.

**What we do:
The Logic Technology Development (LTD) organization delivers the latest process technology innovations to drive Intel's amazing product roadmap. Look at Life Inside Intel here

Job Responsibilities include but not limited to:

• Develops algorithms and applications, performs large scale experimentation, builds data driven apps to translate data into intelligence, and develops solutions for solving business problems using coding.
• Incorporates predictive modeling, statistics and other analysis techniques for collecting, exploring, interpreting and extracting insights from structured and unstructured data.
• Organizes, interprets and structures insights from data, detects data anomalies and makes corrections.
• Performs descriptive statistical analysis, develops visualizations, applications, dashboards, or presentations and communicates insights in a clear and effective way to help the organization with better decision making.
• Supports troubleshooting service offerings using proprietary analytical platforms, commercial tools and custom scripts.
• Drives the design, development and optimization of artificial intelligence/machine learning, deep learning training and inference frameworks, contributes to the research and development of data science activities and supports product development efforts as required.
• Develops and programs methods, processes, and systems to consolidate and analyze diverse big data sources, establishing standard methodologies for data science including modeling, coding, analytics, and experimentation.
• Explores, compiles, and collects data from new or known sources, sometimes in partnership with technical staff/engineers to derive useful insights and/or make predictions.
• Works with development teams and business units to ensure models are scalable and can be implemented as part of the delivered solution across clients.

Additional Responsibilities:

• Development and use of software such as Python, SQL, Visual Basic, C+/C++, JMP, JSL script that automate electrical and physical data analysis for the device characterization to facilitate the device targeting and technology development.
• Electrical measurement, validation, and debug of new Test Chip silicon.
• Collaborating with process modules, process integration, reliability, circuit design, and electrical test equipment groups to understand and define requirements for new state of art Test Chips and to develop test methodologies


",大學,00,經歷不拘,00026,3,11~30人應徵,16432460000,Intel_美商英特爾亞太科技有限公司台灣分公司,1001003001,電腦及其週邊設備製造業,0000000,0000000,待遇面議,10,20250606,6/06,4104,0,,0,0,"
**Job Description
This position is in the Logic Technology Development team working in one of the most advanced semiconductor cleanroom facilities in the world. You will be designing, executing, and analyzing experiments necessary to meet engineering specifications for their process.

**What we offer:
We foster a collaborative, supportive, and exciting environment where the brightest minds in the world come together to achieve exceptional results. We give you opportunities to transform technology and create a better future, by delivering products that make the world a better place. Intel Corporation Core Values here.


**Benefits:
We provide benefits that promote a healthy, enjoyable life: excellent medical plans, wellness programs, and amenities, time off, recreational activities, discounts on various products and services, and many more creative rewards that make Intel a Great Place to Work. Find more information about our Amazing Benefits here.

**What we do:
The Logic Technology Development (LTD) organization delivers the latest process technology innovations to drive Intel&#039;s amazing product roadmap. Look at Life Inside Intel here

Job Responsibilities include but not limited to:

• Develops algorithms and applications, performs large scale experimentation, builds data driven apps to translate data into intelligence, and develops solutions for solving business problems using coding.
• Incorporates predictive modeling, statistics and other analysis techniques for collecting, exploring, interpreting and extracting insights from structured and unstructured data.
• Organizes, interprets and structures insights from data, detects data anomalies and makes corrections.
• Performs descriptive statistical analysis, develops visualizations, applications, dashboards, or presentations and communicates insights in a clear and effective way to help the organization with better decision making.
• Supports troubleshooting service offerings using proprietary analytical platforms, commercial tools and custom scripts.
• Drives the design, development and optimization of artificial intelligence/machine learning, deep learning training and inference frameworks, contributes to the research and development of data science activities and supports product development efforts as required.
• Develops and programs methods, processes, and systems to consolidate and analyze diverse big data sources, establishing standard methodologies for data science including modeling, coding, analytics, and experimentation.
• Explores, compiles, and collects data from new or known sources, sometimes in partnership with technical staff/engineers to derive useful insights and/or make predictions.
• Works with development teams and business units to ensure models are scalable and can be implemented as part of the delivered solution across clients.

Additional Responsibilities:

• Development and use of software such as Python, SQL, Visual Basic, C+/C++, JMP, JSL script that automate electrical and physical data analysis for the device characterization to facilitate the device targeting and technology development.
• Electrical measurement, validation, and debug of new Test Chip silicon.
• Collaborating with process modules, process integration, reliability, circuit design, and electrical test equipment groups to understand and define requirements for new state of art Test Chips and to develop test methodologies


","{'zoneForeign': {'desc': '外商公司', 'param': 5}, 'emp': {'desc': '員工1000人', 'param': '8'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8q7om?channel=104rpt&jobsource=hotjob_chr', 'job': '//www.104.com.tw/job/8q7om?jobsource=hotjob_chr', 'cust': '//www.104.com.tw/company/7jrgna8?jobsource=hotjob_chr'}",hotjob_chr,[歡迎新鮮人] JR0272422 LTD Advanced Device Development Engineer,Intel_美商英特爾亞太科技有限公司台灣分公司,120.9777665,24.8061248,0,"['電機電子工程相關', '資訊工程相關']",,,,,True
0,14673199,Python 應用工程師,<em class='b-txt--highlight'>Python</em> 應用工程師,1,1,6001001010,台北市內湖區,瑞光路168號9樓,"1. 以 [[[Python]]] 語言編寫blender腳本或外掛(i.e. Blender [[[Python]]] API），對室內 CAD（如 DWG、DXF、IFC、OBJ 等）檔案進行解析。

2. 根據客戶需求或專案目標，設計並實作室內模型的自動化分割、分","1. 以 Python 語言編寫blender腳本或外掛(i.e. Blender Python API），對室內 CAD（如 DWG、DXF、IFC、OBJ 等）檔案進行解析。

2. 根據客戶需求或專案目標，設計並實作室內模型的自動化分割、分",專科,00,經歷不拘,00003,1,0~5人應徵,130000000238107,真建築科技股份有限公司,1001001003,網際網路相關業,0000000,0000000,待遇面議,10,20250603,6/03,0,0,,0,0,"1. 以 <em class='b-txt--highlight'>Python</em> 語言編寫blender腳本或外掛(i.e. Blender <em class='b-txt--highlight'>Python</em> API），對室內 CAD（如 DWG、DXF、IFC、OBJ 等）檔案進行解析。

2. 根據客戶需求或專案目標，設計並實作室內模型的自動化分割、分","{'emp': {'desc': '員工12人', 'param': '3'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8qhwv?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8qhwv?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/1a2x6bn317?jobsource=n104bank2'}",,Python 應用工程師,真建築科技股份有限公司,121.5786041,25.0738908,0,[],,,,,False
0,10505210,Python工程師,<em class='b-txt--highlight'>Python</em>工程師,1,1,6001001004,台北市松山區,敦化北路207號8F-13,"- 熟悉[[[Python]]]語言撰寫實務經驗1年以上。
- 可獨立或與團隊合作，工作態度積極、負責，能配合公司規定。
- 依不同經驗及能力來負責系統之分析(SA)、設計(SD)以及程式撰寫(PG)。
- 配合公司專案需求至客戶端駐點服務。","- 熟悉Python語言撰寫實務經驗1年以上。
- 可獨立或與團隊合作，工作態度積極、負責，能配合公司規定。
- 依不同經驗及能力來負責系統之分析(SA)、設計(SD)以及程式撰寫(PG)。
- 配合公司專案需求至客戶端駐點服務。",專科,02,1年以上,00006,2,6~10人應徵,27571256000,緯德科技股份有限公司 (TechLink Corporation),1001001002,電腦軟體服務業,0000000,0000000,待遇面議,10,20250609,6/09,0,0,,0,0,"- 熟悉<em class='b-txt--highlight'>Python</em>語言撰寫實務經驗1年以上。
- 可獨立或與團隊合作，工作態度積極、負責，能配合公司規定。
- 依不同經驗及能力來負責系統之分析(SA)、設計(SD)以及程式撰寫(PG)。
- 配合公司專案需求至客戶端駐點服務。","{'emp': {'desc': '員工220人', 'param': '6'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/695ve?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/695ve?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/cnz7pa8?jobsource=n104bank2'}",,Python工程師,緯德科技股份有限公司 (TechLink Corporation),121.5496155,25.0580023,0,[],,,,,False
0,14337059,東海大學人工智慧中心誠徵Python開發工程師,東海大學人工智慧中心誠徵<em class='b-txt--highlight'>Python</em>開發工程師,1,1,6001008007,台中市西屯區,台灣大道四段1727號(東海大學)人工智慧中心,"展[[[Python]]]的功能，提高開發效率。


*加分項目:
-數據分析、人工智慧：
理解數據分析和LLM的基礎知識，熟悉相關工具，能夠開發相應的應用程式。 具備Langchain、AI-Agent和GraphRAG等技術的實踐經驗尤佳。

-團隊協作能","展Python的功能，提高開發效率。


*加分項目:
-數據分析、人工智慧：
理解數據分析和LLM的基礎知識，熟悉相關工具，能夠開發相應的應用程式。 具備Langchain、AI-Agent和GraphRAG等技術的實踐經驗尤佳。

-團隊協作能",大學,00,經歷不拘,00004,1,0~5人應徵,52004800005,東海大學,1005001009,其他教育服務業,0040000,0068000,"月薪40,000~68,000元",50,20250520,5/20,0,0,,0,0,"展<em class='b-txt--highlight'>Python</em>的功能，提高開發效率。


*加分項目:
-數據分析、人工智慧：
理解數據分析和LLM的基礎知識，熟悉相關工具，能夠開發相應的應用程式。 具備Langchain、AI-Agent和GraphRAG等技術的實踐經驗尤佳。

-團隊協作能",[],,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8jajn?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8jajn?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/nw2bchx?jobsource=n104bank2'}",,東海大學人工智慧中心誠徵Python開發工程師,東海大學,120.6135319,24.183287,0,"['資訊工程相關', '數理統計相關', '其他數學及電算機科學相關']",M,,,,True
0,10507922,Python工程師(PN001),<em class='b-txt--highlight'>Python</em>工程師(PN001),1,1,6001001004,台北市松山區,復興北路191號5F-1,"+ 具備 [[[Python]]] 實務經驗
+ 工作態度積極、負責，重視團隊溝通合作 
+ 不當獨行俠，行有餘力時會主動支援及協助

加分 
++ 有使用 [[[Python]]] 開發的開源程式碼專案可供參考 
++ 有撰寫 Unit Test 經驗","+ 具備 Python 實務經驗
+ 工作態度積極、負責，重視團隊溝通合作 
+ 不當獨行俠，行有餘力時會主動支援及協助

加分 
++ 有使用 Python 開發的開源程式碼專案可供參考 
++ 有撰寫 Unit Test 經驗",專科,00,經歷不拘,00006,2,6~10人應徵,130000000116723,祐安資訊有限公司,1001001002,電腦軟體服務業,0000000,0000000,待遇面議,10,20250609,6/09,0,0,,0,0,"+ 具備 <em class='b-txt--highlight'>Python</em> 實務經驗
+ 工作態度積極、負責，重視團隊溝通合作 
+ 不當獨行俠，行有餘力時會主動支援及協助

加分 
++ 有使用 <em class='b-txt--highlight'>Python</em> 開發的開源程式碼專案可供參考 
++ 有撰寫 Unit Test 經驗","{'emp': {'desc': '員工60人', 'param': '5'}}",距捷運南京復興站約370公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/697yq?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/697yq?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/1a2x6bkhdf?jobsource=n104bank2'}",,Python工程師(PN001),祐安資訊有限公司,121.5443432,25.0552806,0,[],,0.37,99001001011,捷運南京復興站,False
2,14520697,Python Automation Engineer,<em class='b-txt--highlight'>Python</em> Automation Engineer,1,1,6001001001,台北市中正區,,"•	Author automation workflows in [[[Python]]], the Robot framework, and Powershell to make sure a Windows system with BMC, UEFI,","•	Author automation workflows in Python, the Robot framework, and Powershell to make sure a Windows system with BMC, UEFI,",專科,04,3年以上,00010,2,6~10人應徵,130000000074273,新加坡商優思特股份有限公司台灣分公司,1008003001,工商顧問服務業,0000000,0000000,待遇面議,10,20250611,6/11,4096,0,,0,0,"•	Author automation workflows in <em class='b-txt--highlight'>Python</em>, the Robot framework, and Powershell to make sure a Windows system with BMC, UEFI,","{'emp': {'desc': '員工30000人', 'param': '8'}, 'remote': {'desc': '遠端工作'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8n88p?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8n88p?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/1a2x6bjkm9?jobsource=n104bank2'}",,Python Automation Engineer,新加坡商優思特股份有限公司台灣分公司,121.5198716,25.0421407,1,"['電機電子工程相關', '數學及電算機科學學科類', '資訊管理相關']",,,,,False
2,12261739,Smart Device Automation Test Engineer - Python (工作地點：新店),Smart Device Automation Test Engineer - <em class='b-txt--highlight'>Python</em> (工作地點：新店),1,1,6001002011,新北市新店區,新店大坪林站附近, This is an excellent opportunity for an individual with a strong foundation in [[[Python]]] and a passion for quality assurance to, This is an excellent opportunity for an individual with a strong foundation in Python and a passion for quality assurance to,大學,00,經歷不拘,00006,2,6~10人應徵,130000000126292,印度商威普羅股份有限公司台灣分公司,1001001001,電腦系統整合服務業,0050000,0075000,"月薪50,000~75,000元",50,20250609,6/09,4104,0,,0,0, This is an excellent opportunity for an individual with a strong foundation in <em class='b-txt--highlight'>Python</em> and a passion for quality assurance to,"{'zoneForeign': {'desc': '外商公司', 'param': 5}, 'emp': {'desc': '員工200000人', 'param': '8'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7at7v?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7at7v?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/1a2x6bkor8?jobsource=n104bank2'}",,Smart Device Automation Test Engineer - Python (工作地點：新店),印度商威普羅股份有限公司台灣分公司,121.541351,24.982899,0,[],M,,,,True
0,14582871,Python工程師(ETL),<em class='b-txt--highlight'>Python</em>工程師(ETL),1,1,6001001001,台北市中正區,,"*熟pyspark及datastage尤佳

*金融相關產業

","*熟pyspark及datastage尤佳

*金融相關產業

",專科,00,經歷不拘,00004,1,0~5人應徵,28782693000,康翔科技股份有限公司,1001001006,其它軟體及網路相關業,0000000,0000000,待遇面議,10,20250606,6/06,0,0,,0,0,"*熟pyspark及datastage尤佳

*金融相關產業

","{'emp': {'desc': '員工30人', 'param': '4'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8ok7r?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8ok7r?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/d80h020?jobsource=n104bank2'}",,Python工程師(ETL),康翔科技股份有限公司,121.5198716,25.0421407,0,[],,,,,True
2,14507547,Software Engineer (Android/Python),Software Engineer (Android/<em class='b-txt--highlight'>Python</em>),1,1,6001001001,台北市中正區,忠孝東路一段9號8樓," development, you&#039;ll contribute to data engineering and analysis efforts, utilizing [[[Python]]] as needed, helping us unlock"," development, you'll contribute to data engineering and analysis efforts, utilizing Python as needed, helping us unlock",大學,05,4年以上,00002,1,0~5人應徵,130000000125920,百睿達有限公司,1002012001,自動控制相關業,0000000,0000000,待遇面議,10,20250610,6/10,4096,0,,0,0," development, you&#039;ll contribute to data engineering and analysis efforts, utilizing <em class='b-txt--highlight'>Python</em> as needed, helping us unlock",{'remote': {'desc': '遠端工作'}},距捷運善導寺站約40公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8my3f?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8my3f?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/1a2x6bkogw?jobsource=n104bank2'}",,Software Engineer (Android/Python),百睿達有限公司,121.5236634,25.0450205,2,['資訊工程相關'],,0.04,99001005013,捷運善導寺站,False
